gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
SNORD36,0.023802,0.068794,0.038445,0.1367
BAI3,0.039423,0.068500,0.020566,0.2167
AC124947.10-1,0.017951,0.052331,0.068494,0.2650
EEA1,0.017951,0.052331,0.068494,0.2650
AC124947.10-2,0.017951,0.052331,0.068494,0.2650
CLLU1OS,0.017951,0.052331,0.068494,0.2650
AC138123.2,0.017951,0.052331,0.068494,0.2650
AC126172.8-1,0.017951,0.052331,0.068494,0.2650
C12orf74,0.017951,0.052331,0.068494,0.2650
NUDT4P1,0.017951,0.052331,0.068494,0.2650
BTG1,0.017951,0.052331,0.068494,0.2650
CLLU1,0.017951,0.052331,0.068494,0.2650
PLEKHG7,0.017951,0.052331,0.068494,0.2650
SNORA74,0.027087,0.049491,0.068263,0.6133
RASSF3,0.023963,0.051590,0.067518,0.3067
ATP9B,0.020020,0.055724,0.067343,0.4700
CRYBB2,0.012044,0.067211,0.059901,0.2533
AC069513.28-3,0.041551,0.026134,0.067165,0.1467
hsa-mir-570,0.041551,0.026134,0.067165,0.1467
ADAM5P,0.043419,0.047473,0.067040,0.2433
CCDC102B,0.023931,0.049538,0.066972,0.3417
PPP4R1L,0.066868,0.028393,0.034777,0.5217
AL354776.15,0.066868,0.028393,0.034777,0.5217
ESNA1,0.066446,0.055610,0.019063,0.4500
PARD3,0.066372,0.050678,0.036152,0.6417
CRYBB3,0.011363,0.066339,0.056506,0.2533
AL365503.10-1,0.024061,0.065920,0.037535,0.4450
AL590874.6,0.024061,0.065920,0.037535,0.4450
PTPRK,0.065795,0.047183,0.017426,0.2783
CDKAL1,0.022956,0.065756,0.054472,0.2600
DIP,0.017886,0.065749,0.056412,0.4117
C6orf12,0.012673,0.057650,0.065590,0.1417
SMAD4,0.015943,0.046688,0.065576,0.2333
ME2,0.015943,0.046688,0.065576,0.2333
AC091551.14-1,0.015943,0.046688,0.065576,0.2333
MRO,0.015943,0.046688,0.065576,0.2333
MEX3C,0.015943,0.046688,0.065576,0.2333
C18orf24,0.015943,0.046688,0.065576,0.2333
AC105227.6-1,0.015943,0.046688,0.065576,0.2333
ELAC1,0.015943,0.046688,0.065576,0.2333
AC105227.6-2,0.015943,0.046688,0.065576,0.2333
MBD1,0.015943,0.046688,0.065576,0.2333
MAPK4,0.015943,0.046688,0.065576,0.2333
CXXC1,0.015943,0.046688,0.065576,0.2333
RAD51L1,0.065507,0.055819,0.039578,0.3933
GABPB1,0.022793,0.036488,0.065455,0.2583
RGS7,0.037596,0.065339,0.063206,0.3683
APOBEC3A,0.027034,0.065120,0.037168,0.1967
MAPT,0.064975,0.025029,0.032735,0.1400
SPG7,0.008404,0.047242,0.064884,0.4400
MBNL3,0.018280,0.050649,0.064776,0.2650
GRIA3,0.032219,0.064497,0.057839,0.5750
OR2A5,0.011235,0.064457,0.051707,0.0533
OR6B1,0.011235,0.064457,0.051707,0.0533
CXYorf3,0.064306,0.041421,0.028859,0.0983
PUS10,0.014498,0.045378,0.063995,0.2633
SNORA62,0.053687,0.060123,0.063949,0.4817
TCF12,0.016674,0.041439,0.063781,0.3867
DUSP22,0.027651,0.041814,0.063562,0.2667
G6PC,0.063509,0.017949,0.038501,0.6817
AC100793.8,0.063509,0.017949,0.038501,0.6817
CNTNAP1,0.063509,0.017949,0.038501,0.6817
VAT1,0.063509,0.017949,0.038501,0.6817
AOC2,0.063509,0.017949,0.038501,0.6817
RUNDC1,0.063509,0.017949,0.038501,0.6817
