gene,importance_HER2+,importance_HR+,importance_Triple Neg,selection_freq
AQP5,0.017958,0.050099,0.034859,0.2450
AC008147.31-2,0.017958,0.050099,0.034859,0.2450
AQP6,0.017958,0.050099,0.034859,0.2450
DDN,0.017958,0.050099,0.034859,0.2450
AC008147.31-1,0.017958,0.050099,0.034859,0.2450
AC131157.4-4,0.017958,0.050099,0.034859,0.2450
MCRS1,0.017958,0.050099,0.034859,0.2450
PRPH,0.017958,0.050099,0.034859,0.2450
AC140061.14-6,0.017958,0.050099,0.034859,0.2450
TUBA1C,0.017958,0.050099,0.034859,0.2450
LASS5,0.017958,0.050099,0.034859,0.2450
AC140061.14-3,0.017958,0.050099,0.034859,0.2450
RGS7,0.017026,0.050095,0.048693,0.2950
SNORD65,0.025958,0.036453,0.049930,0.5733
HLA-DRB1,0.019079,0.049876,0.040780,0.3367
ZNF596,0.045774,0.007153,0.049718,0.2067
C18orf45,0.008613,0.049535,0.036067,0.1850
DIP,0.015690,0.049490,0.043787,0.2850
CTAGE5,0.014195,0.032385,0.049315,0.3800
AHCTF1,0.029312,0.041498,0.049314,0.4733
TBC1D21,0.011860,0.035802,0.049191,0.2217
MYO9A,0.016738,0.036530,0.049080,0.4133
5_8S_rRNA,0.029857,0.028499,0.048988,0.5167
AC019322.8-3,0.024712,0.027097,0.048945,0.0383
ARHGAP11A,0.024712,0.027097,0.048945,0.0383
AC090982.4,0.024712,0.027097,0.048945,0.0383
AC004460.1-1,0.024712,0.027097,0.048945,0.0383
OTUD7A,0.024712,0.027097,0.048945,0.0383
TMCO5B,0.024712,0.027097,0.048945,0.0383
hsa-mir-211,0.024712,0.027097,0.048945,0.0383
AC135983.4-3,0.024712,0.027097,0.048945,0.0383
AC019322.8-1,0.024712,0.027097,0.048945,0.0383
FMN1,0.024712,0.027097,0.048945,0.0383
AC139426.2-3,0.024712,0.027097,0.048945,0.0383
AC135983.4-4,0.024712,0.027097,0.048945,0.0383
AC026150.7-1,0.024712,0.027097,0.048945,0.0383
AC026150.7-7,0.024712,0.027097,0.048945,0.0383
PGBD4,0.024712,0.027097,0.048945,0.0383
AVEN,0.024712,0.027097,0.048945,0.0383
NDNL2,0.024712,0.027097,0.048945,0.0383
AC004460.1-3,0.024712,0.027097,0.048945,0.0383
MTMR10,0.024712,0.027097,0.048945,0.0383
AC102941.9-1,0.024712,0.027097,0.048945,0.0383
AC120045.19-9,0.024712,0.027097,0.048945,0.0383
CHRNA7,0.024712,0.027097,0.048945,0.0383
AC004460.1-2,0.024712,0.027097,0.048945,0.0383
AC135983.4-1,0.024712,0.027097,0.048945,0.0383
AC019322.8-2,0.024712,0.027097,0.048945,0.0383
LPCAT4,0.024712,0.027097,0.048945,0.0383
AC123768.8-3,0.024712,0.027097,0.048945,0.0383
GREM1,0.024712,0.027097,0.048945,0.0383
RYR3,0.024712,0.027097,0.048945,0.0383
AC135983.4-7,0.024712,0.027097,0.048945,0.0383
AC123768.8-2,0.024712,0.027097,0.048945,0.0383
AC139426.2-2,0.024712,0.027097,0.048945,0.0383
AC111152.2,0.024712,0.027097,0.048945,0.0383
TMEM85,0.024712,0.027097,0.048945,0.0383
SNORA18,0.024712,0.027097,0.048945,0.0383
AC120045.19-3,0.024712,0.027097,0.048945,0.0383
AC026150.7-5,0.024712,0.027097,0.048945,0.0383
AC026150.7-2,0.024712,0.027097,0.048945,0.0383
AC123768.8-1,0.024712,0.027097,0.048945,0.0383
AC024474.8,0.024712,0.027097,0.048945,0.0383
AC019278.6,0.024712,0.027097,0.048945,0.0383
APBA2,0.024712,0.027097,0.048945,0.0383
AC120045.19-1,0.024712,0.027097,0.048945,0.0383
AC120045.19-8,0.024712,0.027097,0.048945,0.0383
C15orf29,0.024712,0.027097,0.048945,0.0383
AC120045.19-4,0.024712,0.027097,0.048945,0.0383
TRPM1,0.024712,0.027097,0.048945,0.0383
SLC12A6,0.024712,0.027097,0.048945,0.0383
C15orf24,0.024712,0.027097,0.048945,0.0383
AC018515.7-2,0.024712,0.027097,0.048945,0.0383
CHRFAM7A,0.024712,0.027097,0.048945,0.0383
AC102941.9-2,0.024712,0.027097,0.048945,0.0383
AC135731.6-1,0.024712,0.027097,0.048945,0.0383
AC022613.13,0.024712,0.027097,0.048945,0.0383
KLF13,0.024712,0.027097,0.048945,0.0383
AC139426.2-1,0.024712,0.027097,0.048945,0.0383
AC091057.6-1,0.024712,0.027097,0.048945,0.0383
AC004460.1-4,0.024712,0.027097,0.048945,0.0383
ARHGAP11B,0.024712,0.027097,0.048945,0.0383
AC026150.7-3,0.024712,0.027097,0.048945,0.0383
AC135983.4-2,0.024712,0.027097,0.048945,0.0383
CHRM5,0.024712,0.027097,0.048945,0.0383
TJP1,0.024712,0.027097,0.048945,0.0383
SCG5,0.024712,0.027097,0.048945,0.0383
AC120045.19-2,0.024712,0.027097,0.048945,0.0383
NOLA3,0.024712,0.027097,0.048945,0.0383
C15orf55,0.024712,0.027097,0.048945,0.0383
AC123768.8-5,0.024712,0.027097,0.048945,0.0383
MTMR15,0.024712,0.027097,0.048945,0.0383
PPP4R1L,0.048399,0.029981,0.035113,0.4567
AL354776.15,0.048399,0.029981,0.035113,0.4567
HMGA2,0.006399,0.047879,0.047942,0.2950
RPSAP52,0.006399,0.047879,0.047942,0.2950
WIF1,0.006399,0.047879,0.047942,0.2950
AC090673.5-1,0.006399,0.047879,0.047942,0.2950
AC090673.5-2,0.006399,0.047879,0.047942,0.2950
AC078815.22-1,0.006399,0.047879,0.047942,0.2950
LEMD3,0.006399,0.047879,0.047942,0.2950
MSRB3,0.006399,0.047879,0.047942,0.2950
AC090023.20,0.006399,0.047879,0.047942,0.2950
ANKS1B,0.016255,0.031822,0.047770,0.4533
SNORA36,0.024248,0.045383,0.047690,0.5567
AC087650.12-4,0.047384,0.011348,0.047443,0.4000
ETV4,0.047384,0.011348,0.047443,0.4000
MEOX1,0.047384,0.011348,0.047443,0.4000
RPL29P31,0.047384,0.011348,0.047443,0.4000
AC087650.12-2,0.047384,0.011348,0.047443,0.4000
ARL4D,0.047384,0.011348,0.047443,0.4000
AC087650.12-1,0.047384,0.011348,0.047443,0.4000
AC087650.12-3,0.047384,0.011348,0.047443,0.4000
DHX8,0.047384,0.011348,0.047443,0.4000
PKD1L3,0.011134,0.047152,0.044869,0.2633
ZNF23,0.011134,0.047152,0.044869,0.2633
CALB2,0.011134,0.047152,0.044869,0.2633
FTSJD1,0.011134,0.047152,0.044869,0.2633
KIAA0174,0.011134,0.047152,0.044869,0.2633
ZNF821,0.011134,0.047152,0.044869,0.2633
HYDIN,0.011134,0.047152,0.044869,0.2633
MARVELD3,0.011134,0.047152,0.044869,0.2633
CHST4,0.011134,0.047152,0.044869,0.2633
SNORD71,0.011134,0.047152,0.044869,0.2633
PHLPPL,0.011134,0.047152,0.044869,0.2633
AC106736.4,0.011134,0.047152,0.044869,0.2633
TAT,0.011134,0.047152,0.044869,0.2633
ZNF19,0.011134,0.047152,0.044869,0.2633
AP1G1,0.011134,0.047152,0.044869,0.2633
EXOSC6,0.008340,0.043855,0.046818,0.2550
SIRT7,0.032758,0.046429,0.026912,0.2500
PCYT2,0.032758,0.046429,0.026912,0.2500
ANAPC11,0.032758,0.046429,0.026912,0.2500
NPB,0.032758,0.046429,0.026912,0.2500
THOC4,0.032758,0.046429,0.026912,0.2500
MAFG,0.032758,0.046429,0.026912,0.2500
NANOS3,0.017284,0.025427,0.046427,0.2883
SAMD1,0.017284,0.025427,0.046427,0.2883
